adulterant,source
tamarind seed,usp
tamarind seeds,usp
tangelo juice,usp
tangerine or mandarin juice,usp
tapioca starch,usp
tara gum,usp
tartrazine,rasff
tartrazine,usp
taurine,rasff
taurine,ema
tea,ema
tea leaves of non-authentic botanical origin,usp
tea of non-authentic botanical origin,usp
tea of non-authentic geographic origin,usp
tea powder,usp
technical grade anethol,usp
tequila (derived from non-agave fermentable sugars),usp
tequila from non-authentic geographic origin,usp
tequila of non-authentic age (grade),usp
"terpene hydrocarbon mixtures containing a-pinene and d-3-carene, also juniper branch oil and second grade oils from spoiled juniper berries",usp
terpenes,usp
terpenes from sweet orange,usp
terpinen-4-ol and alpha- and gamma-terpinenes,usp
tertiary butylhydroquinone,rasff
tetrachloroethene,rasff
tetrachloroethylene,rasff
tetracycline,ema
tetrahydrocannabinol,rasff
tetramine,ema
tetrasodium pyrophosphate,ema
the cold chain -,rasff
the prince alomo-bitters,ema
the sum,rasff
thiourea,usp
threads of gelatin,usp
threonine,usp
thresher,ema
thujone,rasff
tilapia,usp
tilapia,ema
tilapia (chinese),usp
tilapia (oreochromis niloticus),usp
tilapia (oreochromis sp.),usp
tilapia or white bass,usp
tin,rasff
"tin, cobalt, germanium, vanadium",rasff
"tin, nickel",rasff
tinopal,usp
titanium dioxide,rasff
tobacco,fda
tocotrienol,rasff
toluene,rasff
tomato skin,usp
tomatoes that did not meet quality specifications,ema
total color,rasff
total phosphates,rasff
toxic substances,ema
tra fish,ema
trans fatty acids,rasff
transshipped butter,ema
tri-ortho cresyl phosphate,usp
trichloroethene,rasff
triclosan,usp
triclosan (antimicrobial compound),usp
triiodothyronine,rasff
triphosphate,rasff
triuret,usp
tropeolin color,usp
tuna,ema
turkey,ema
turkey meat,ema
turkish hazelnut oil,ema
turkish honey,ema
turmeric,usp
turmeric,ema
turmeric powder,usp
turpentine,usp
turpentine oil,ema
twigs,usp
tyrosine,usp
u.s. long grain rice,usp
uht milk,usp
unauthorized grapes,ema
undeclared animal and plant proteins,usp
undeclared meat species,ema
undeclared meats,ema
unidentified color,rasff
unidentified meat,ema
united states beef,ema
unknown,ema
unknown fake fish,ema
unknown milk source,ema
unlicensed beverages,ema
unpasteurized cheese,ema
unsafe ingredient,rasff
unspecified chemicals,ema
urea,usp
urea,ema
urea (synthetic origin),usp
urea and vegatable oil,ema
ureaform,usp
used and discarded oil,ema
valine,usp
vanadium,rasff
"vanadium, boron citrate, molybdenum amino acid chelate, magnesium chelate, selenium chelate, copper chelate, manganese chelate",rasff
"vanadium, boron citrate, selenium chelate, copper chelate, manganese chelate, chromium chelate",rasff
"vanadium, selenium amino acid chelate",rasff
vanadyl sulphate,rasff
vanaspati,ema
vanaspati (hydrogenated vegetable fat),usp
vanillic alcohol,usp
vanillin,usp
"vanillin, benzyl benzoate, ethyl and benzyl cinnamates, and benzoic acid to enhance odor (or to pass off cheaper &ldquo;sumatra&rdquo; grades as &ldquo;siam&rdquo;)",usp
vardenafil,rasff
various fish species from the western part of pacific ocean,ema
varnish,ema
vegetable carbon,rasff
vegetable fat,usp
vegetable filler,ema
vegetable ghee,ema
vegetable margarine,usp
vegetable material,ema
vegetable oil,usp
vegetable oil,ema
vegetable oil from non-authentic botanical origin,usp
vegetable oils,ema
vegetable oils,usp
vegetable oils of non-authentic botanical or geographic origin,usp
vegetable oils on non-authentic botanical origin,usp
vegetable oils rich in linoleic acid,usp
"vegetable oils, hercolyn d",usp
vegetale oil,usp
vehicle anti-freeze,ema
venetian red,usp
venison,ema
vermilion,usp
veterinary products,ema
vibrio cholerae,fda
vietnam-sourced seafood,ema
vietnam-sourced shrimp,ema
vietnamese catfish (swai),usp
vietnamese honey,ema
vietnamese rice,ema
vinegar from non-authentic fermentable sugar source,usp
vinegar made from reconstituted dry grapes,usp
vinpocetine,rasff
"vinpocetine, citrulline malate",rasff
virgin olive oil,ema
virgin olive oil and other vegetable oils,usp
virgin olive oil from non-authentic geographic origin,usp
vitamin a,rasff
vitamin b1,rasff
"vitamin b12, caffeine",rasff
vitamin b6,rasff
vitamin d,rasff
vitamin e,rasff
vitamins,rasff
volatile organic compounds,rasff
walnut oil,usp
washing powder,usp
waste or recycled oil,usp
waste water,ema
water,ema
water,usp
water (use of water retention agents or overglazing),usp
water buffalo,ema
water buffalo meat,ema
"water, cane sugar, and maple flavor",usp
water-retaining agent,ema
water-soluble corn starch,usp
weakfish (cynoscion albus),usp
wheat,ema
wheat flour,ema
wheat flour,usp
wheat protein,usp
whey,ema
whey,usp
whey protein,usp
whey proteins,usp
white mica,usp
white pepper,usp
whiteleg shrimp,ema
whiting,usp
whitting,usp
wine from grapes of non-authentic botanical origin,usp
wine from non-authentic brand,usp
wine from the languedoc-roussillon,ema
wreck fish (polyprion americanus) or nile perch (lates niloticus),usp
xylene,rasff
yeast powder,usp
yellow clay,usp
yellow colored rice bran,ema
yellow dye,ema
yellow dye,usp
yellow mouth gropuper,ema
yellow sesame oil,usp
yellow tail snapper,ema
yellowedge grouper,ema
yellowtail amberjack,ema
yellowtail fish,usp
yohimbine,rasff
"yohimbine, synephrine",rasff
zebra,ema
zinc,rasff
zinc amino acid chelate,rasff
"zinc amino acid chelate, selenium amino acid chelate, calcium amino acid chelate, magnesium amino acid chelate",rasff
zinc arginine chelate,rasff
